HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459248.621,2021-02-03.1253049,bo,1.62,15.574,15.574,99.99,0.182,0.428,g
2459248.623,2021-02-03.1266415,bo,1.95,15.552,15.552,99.99,1.362,0.437,g
2459248.624,2021-02-03.1278856,bo,1.97,15.571,15.571,99.99,1.36,0.429,g
2459249.868,2021-02-04.3719913,bG,1.57,16.146,16.036,0.198,1.398,0.253,g
2459249.87,2021-02-04.3732875,bG,1.49,16.134,16.134,99.99,1.24,0.256,g
2459249.871,2021-02-04.3745885,bG,1.52,16.129,16.129,99.99,1.281,0.257,g
2459254.869,2021-02-09.3718787,bk,1.56,16.792,16.158,0.122,1.249,0.139,g
2459254.87,2021-02-09.3731075,bk,1.93,16.639,15.861,0.107,1.643,0.16,g
2459254.871,2021-02-09.3743430,bk,1.55,16.671,16.165,0.138,1.241,0.156,g
2459256.889,2021-02-11.3918924,bk,1.4,15.794,15.794,99.99,1.518,0.35,g
2459256.89,2021-02-11.3931211,bk,1.44,15.579,15.579,99.99,1.706,0.426,g
2459256.891,2021-02-11.3943498,bk,1.48,15.499,13.27,0.028,17.86,0.461,g
2459259.836,2021-02-14.3391037,bk,1.52,16.681,15.99,0.116,1.459,0.154,g
2459259.837,2021-02-14.3403241,bk,1.51,16.74,16.043,0.115,1.389,0.146,g
2459261.85,2021-02-16.3522797,bG,1.44,16.652,16.478,0.187,0.93,0.159,g
2459261.851,2021-02-16.3535697,bG,1.46,16.664,16.392,0.171,1.007,0.157,g
2459261.852,2021-02-16.3548670,bG,1.46,16.601,16.504,0.2,0.909,0.166,g
2459262.601,2021-02-17.1038833,bo,1.41,99.99,99.99,99.99,99.99,99.99,g
2459262.602,2021-02-17.1051230,bo,1.46,17.103,16.358,0.11,1.039,0.105,g
2459263.593,2021-02-18.0953798,bo,1.48,16.825,16.171,0.12,1.235,0.135,g
2459263.594,2021-02-18.0966077,bo,1.48,16.915,16.242,0.118,1.157,0.125,g
2459263.595,2021-02-18.0978329,bo,1.48,16.85,16.122,0.112,1.291,0.132,g
2459263.625,2021-02-18.1273785,bo,1.47,99.99,99.99,99.99,99.99,99.99,g
2459263.626,2021-02-18.1285915,bo,1.43,99.99,99.99,99.99,99.99,99.99,g
2459263.627,2021-02-18.1298217,bo,1.48,16.661,16.17,0.139,1.236,0.157,g
2459264.834,2021-02-19.3362013,bk,1.47,16.841,16.31,0.135,1.086,0.133,g
2459264.835,2021-02-19.3374399,bk,1.48,16.764,15.844,0.094,1.67,0.143,g
2459264.836,2021-02-19.3386803,bk,1.48,16.78,16.399,0.154,1.001,0.141,g
2459266.823,2021-02-21.3251537,bk,1.59,16.621,16.026,0.127,1.412,0.163,g
2459266.824,2021-02-21.3263872,bk,1.58,16.781,16.328,0.145,1.068,0.141,g
2459266.825,2021-02-21.3276324,bk,1.97,16.636,15.759,0.098,1.805,0.161,g
2459268.836,2021-02-23.3381086,bG,1.45,16.649,16.232,0.149,1.168,0.159,g
2459268.837,2021-02-23.3394039,bG,1.41,16.621,16.621,99.99,0.756,0.163,g
2459268.839,2021-02-23.3407003,bG,1.43,16.722,16.333,0.153,1.065,0.149,g
2459269.827,2021-02-24.3289153,bk,1.48,16.807,16.512,0.167,0.902,0.137,g
