Image ID,Observation Date,MJD,Filter,Detection ID,Distance [arcsec],RA [deg],DEC [deg],Mag_Opt,Magerr_Opt,Flux [μJy],Fluxerr [μJy],Zero-point stdev
14966,2020-06-04 21:55:15.311000,59004.91337165498,i,927227741,0.15700839094431093,266.6707988449355,-32.23399319397006,13.21455192565918,0.003373363520950079,18802.0546875,58.417654242307705,0.02317014572920592
14998,2020-06-19 20:44:37.543000,59019.86432341814,q,932387066,0.22218530908112635,266.670812268778,-32.23399905443753,15.723858833312988,0.004952101968228817,1864.1575927734375,8.502524375594401,0.02887704698361756
14967,2020-06-19 20:46:37.567000,59019.86571258181,i,927422210,0.12449866112717133,266.67079207425314,-32.23399690058193,13.204998970031738,0.0027446839958429337,18968.224609375,47.95067297750404,0.01884853025720688
15028,2020-07-19 19:16:38.548000,59049.80322392946,u,934077580,0.4889349430853415,266.67088136990486,-32.234079109822126,19.0137882232666,0.18613852560520172,90.05561065673828,15.439126736823585,0.0808893507037227
14999,2020-07-19 19:18:44.536000,59049.80468213432,q,932594734,0.2879092628784813,266.67082635627634,-32.23397524060035,15.73372745513916,0.005281652789562941,1847.2911376953125,8.986299196176224,0.01963795355998651
14968,2020-07-19 19:20:49.541000,59049.80612895015,i,927703906,0.12339101020340038,266.6707857195749,-32.233986117847145,13.201394081115723,0.0027153349947184324,19031.306640625,47.595697479662874,0.02304903359951206
63783,2020-07-28 19:01:00.862000,59058.79237109111,i,3338241709,0.15943343943886257,266.67077695947387,-32.233979055578416,13.195136070251465,0.002737008733674884,19141.326171875,48.25294876916116,0.02399849720359601
63787,2020-07-28 19:03:09.852000,59058.79386402945,q,3339044110,0.17889315664669866,266.67078516021246,-32.23397843391588,15.71385383605957,0.005585176404565573,1881.4154052734375,9.678259677409791,0.02967891795181758
15000,2020-08-08 18:46:31.205000,59069.7823056151,q,932731292,0.21121968233630273,266.67080161796036,-32.23397858988155,15.713828086853027,0.00578757468611002,1881.4610595703125,10.0292282074024,0.02253545135128674
14969,2020-08-08 18:48:32.244000,59069.78370652685,i,927979894,0.14881214247455507,266.6707885315303,-32.23397649165765,13.188156127929688,0.0029772156849503517,19264.7734375,52.826260250976716,0.01833215855645268
15002,2020-08-14 18:45:32.303000,59075.78162387377,q,932850930,0.1524551330723943,266.6707878086555,-32.23398850835096,15.715709686279297,0.005372929386794567,1878.2020263671875,9.294565855022125,0.02043259890490872
14971,2020-08-14 18:47:40.258000,59075.78310483346,i,928192686,0.09660721072298335,266.6707801844192,-32.23398705317401,13.191143989562988,0.00277022086083889,19211.818359375,49.01833166238667,0.02672725430419273
15003,2020-08-22 18:41:46.974000,59083.7790159013,q,932976800,0.1591886777382569,266.6707857356889,-32.2339815859934,15.723321914672852,0.005122953560203314,1865.080810546875,8.800224597606563,0.02121730130953821
14972,2020-08-22 18:46:01.008000,59083.78195611636,i,928455374,0.09183328614704162,266.67078228486105,-32.23398903079543,13.195518493652344,0.002761235460639,19134.580078125,48.662907318126436,0.01542847949596495
15004,2020-08-23 18:54:39.811000,59084.78796077038,q,933163340,0.1002151410090569,266.6707699687644,-32.233990071244214,15.687878608703613,0.00568806380033493,1926.97021484375,10.095205030378201,0.03675582678514325
